term,freq
member_states,432
market_access,377
trade_investment,322
eu_china,290
european_union,232
economic_security,221
human_rights,220
third_countries,209
trade_policy,206
raw_materials,198
€_billion,163
new_barriers,158
climate_change,156
intellectual_property,154
eu_exports,139
playing_field,133
eu_trade,132
trade_agreements,128
sustainable_development,126
supply_chains,121
global_economy,117
level_playing,116
european_commission,115
eu_companies,114
trade_barriers,113
united_states,108
european_companies,103
eu_member,100
trade_flows,100
world_trade,98
trade_defence,97
investment_barriers,96
last_year,94
property_rights,93
work_together,93
china_eu,93
dispute_settlement,91
public_procurement,89
trading_system,88
eu_also,87
free_trade,84
single_market,83
goods_services,82
europe_china,81
eu_economic,78
developing_countries,75
china_also,75
barriers_reported,72
barriers_resolved,72
trading_partner,71
global_trade,70
economic_growth,70
high_level,70
eu-china_relations,69
economic_social,68
relationship_china,68
economic_trade,68
eur_billion,67
eu-china_summit,67
critical_raw,66
rule_law,66
bilateral_trade,66
ladies_gentlemen,66
trading_partners,63
south_korea,63
international_standards,62
government_procurement,62
european_parliament,61
value_chains,61
trade_relations,61
european_council,60
foreign_direct,60
civil_society,60
progress_achieved,60
chinese_market,59
world_economy,58
supply_chain,57
export_restrictions,56
global_economic,55
foreign_investment,55
direct_investment,53
eu_market,53
china_europe,52
political_dialogue,52
action_plan,51
trade_relationship,51
national_security,50
commission_also,50
third_country,49
working_group,49
open_markets,49
wto_accession,49
defence_instruments,48
years_ago,48
foreign_subsidies,47
commission_member,47
trade_agreement,47
access_barriers,47
medical_devices,46
research_innovation,45
eu-china_trade,45
barriers_trade,45
president_xi,45
barriers_recorded,45
international_trade,44
strategic_partners,44
eu_businesses,43
geographical_indications,43
wto_members,43
relations_china,43
potentially_affected,43
around_world,42
long_term,42
foreign_companies,42
wto_commitments,42
chinese_authorities,42
trade_deficit,42
prime_minister,42
eu_exporters,42
eu_continue,41
china_now,41
recent_years,40
export_controls,40
china_economic,40
china_can,40
china_china,40
global_challenges,40
wto_rules,40
border_measures,40
internal_market,39
strategic_partnership,39
wto_dispute,39
union_china,39
trade_services,39
president_european,39
fta_negotiations,38
investment_agreement,38
steel_aluminium,38
trade_economic,37
economic_relationship,37
rest_world,37
doha_development,37
access_eu,36
trade_organisation,36
european_businesses,36
trade_goods,36
working_together,35
can_also,35
middle_east,35
economic_development,35
two_sides,35
largest_trading,35
access_strategy,35
number_new,35
customs_union,34
global_trading,34
illegal_migration,34
eu_us,34
number_barriers,34
make_sure,34
trade_commissioner,34
put_place,33
eu_investment,33
state_aid,33
hong_kong,33
political_economic,33
china_wto,33
doha_round,33
european_economic,32
economic_coercion,32
industrial_policy,32
commission_continue,32
eu_economy,32
science_technology,32
mutually_beneficial,32
renewable_energy,32
work_china,32
eu_imports,32
local_content,32
last_years,31
european_economy,31
wide_range,31
financial_services,31
progress_made,31
eu_industry,31
china_european,31
protection_intellectual,31
non-tariff_barriers,31
per_type,31
russia_war,30
circular_economy,30
partner_countries,30
security_policy,30
development_agenda,30
rare_earths,30
chinese_government,30
accession_wto,30
trade_negotiations,30
new_trade,30
resolved_barriers,30
