term,freq
eu,4124
china,3890
trade,2792
also,1489
economic,1424
european,1262
barriers,1108
new,1099
global,1047
investment,1008
europe,989
market,975
commission,932
world,838
chinese,799
wto,790
countries,750
security,729
can,721
international,717
policy,715
us,692
access,653
measures,605
states,576
agreement,575
economy,572
important,565
need,561
development,548
companies,546
one,545
work,541
including,530
issues,515
member,491
cooperation,488
relationship,486
foreign,459
eu-china,452
level,442
rights,441
products,434
dialogue,433
well,431
open,422
partners,410
support,410
energy,408
continue,406
negotiations,403
growth,399
system,398
years,394
exports,392
union,389
third,389
key,386
political,386
services,380
markets,379
rules,379
must,370
bilateral,369
sectors,366
relations,366
ensure,365
strategic,364
export,364
first,358
year,353
now,352
goods,351
trading,346
time,345
make,345
russia,341
together,334
action,332
today,332
sector,328
many,327
last,325
progress,324
areas,323
sustainable,322
number,322
agreements,321
two,315
challenges,313
use,313
business,305
billion,298
co-operation,298
standards,296
change,293
implementation,292
partnership,291
social,282
climate,281
