term,freq
united_states,5460
intellectual_property,908
trade_policy,762
wto_members,744
trading_partners,666
$_billion,655
market_access,561
trade_investment,476
u.s_trade,472
policies_practices,470
chinese_government,455
u.s_exports,447
trade_agreements,420
national_security,400
trading_system,397
china_wto,397
property_rights,397
dispute_settlement,393
u.s_china,377
goods_services,376
free_trade,359
china_also,348
states_china,346
economic_growth,341
trade_agreement,310
playing_field,304
states_also,301
around_world,297
state-owned_enterprises,295
u.s_companies,273
wto_rules,270
technology_transfer,265
supply_chains,254
american_workers,253
china_trade,252
global_economy,248
last_year,245
china_committed,245
wto_dispute,243
states_continue,242
trade_relationship,225
wto_membership,222
president_trump,217
level_playing,213
excess_capacity,211
wto_accession,204
chinese_companies,199
trade_regime,195
developing_countries,188
industrial_policies,185
international_trade,182
china_market,181
biden_administration,180
administration_continue,180
world_trade,178
s_ed,178
steel_aluminum,177
wto_commitments,177
government_procurement,176
u.s_goods,175
accession_wto,175
economy_trade,173
trade_representative,173
foreign_companies,171
china_economic,168
workers_businesses,166
china_economy,160
exports_china,160
global_trading,160
rule_law,155
wto_member,155
exchange_rate,155
approach_economy,154
farmers_ranchers,153
china_agreed,153
laws_regulations,152
states_wto,149
trade_policies,147
forced_labor,147
china_accession,147
policy_agenda,145
trade_organization,143
wide_range,143
agricultural_products,142
global_trade,141
u.s_workers,140
china_made,140
president_obama,140
supply_chain,139
continue_work,138
appellate_body,138
economic_dialogue,136
trade_practices,136
president_biden,136
economic_system,135
european_union,135
economic_reform,134
non-market_policies,134
unfair_trade,133
strategic_economic,132
bilateral_trade,131
relationship_china,130
workers_farmers,129
american_jobs,128
open_markets,128
u.s_government,127
china_united,127
also_continue,127
bilateral_engagement,126
phase_one,125
economic_relationship,124
ipr_enforcement,124
domestic_industries,122
jcct_meeting,122
commitments_china,122
trade_secrets,121
industrial_policy,119
human_rights,118
trade_agenda,118
obama_administration,118
foreign_investment,117
private_sector,115
wto_china,114
china_china,114
open_market-oriented,114
market_economy,113
recent_years,113
look_forward,113
china_non-market,112
u.s_businesses,112
two_sides,112
one_agreement,111
china_industrial,111
years_china,109
trade_economic,108
states_trade,108
financial_services,108
industrial_plans,108
state-led_non-market,108
opportunities_u.s,107
allies_partners,106
economic_trade,105
engagement_china,105
service_providers,105
american_people,104
u.s_economy,103
administration_also,103
work_together,103
u.s_agricultural,103
china_continued,102
non-tariff_barriers,101
president_bush,101
global_economic,100
wto_obligations,100
trump_administration,100
u.s_exporters,99
u.s_industry,99
regulatory_authorities,99
trade_deficit,98
president's_trade,98
government_party,97
trade_act,97
antidumping_countervailing,96
barriers_trade,96
trade_remedies,96
vice_premier,95
protection_enforcement,94
international_trading,94
ensure_china,94
meeting_china,93
doha_round,92
21st_century,91
years_ago,91
settlement_mechanism,91
trade_negotiations,90
labor_rights,90
market_u.s,90
continue_pursue,89
non-market_economic,89
hong_kong,89
past_year,89
products_services,89
chinese_enterprises,89
trade_tools,89
communist_party,88
global_markets,88
two_years,87
american_businesses,86
export_market,86
china_unfair,85
trade_china,85
indigenous_innovation,85
export_restraints,85
businesses_workers,84
small_businesses,84
multilateral_trading,84
accession_agreement,84
public_comment,84
middle_class,83
trade_laws,83
