term,freq
intellectual_property_rights,394
united_states_china,342
united_states_also,301
united_states_continue,242
wto_dispute_settlement,212
level_playing_field,211
approach_economy_trade,149
united_states_wto,147
trade_policy_agenda,144
world_trade_organization,143
states_wto_members,142
non-market_policies_practices,129
china_united_states,127
global_trading_system,127
china_wto_accession,123
strategic_economic_dialogue,122
u.s_china_trade,122
free_trade_agreement,113
phase_one_agreement,111
united_states_trade,107
u.s_trade_policy,99
u.s_goods_services,98
president's_trade_policy,96
unfair_trade_practices,95
u.s_exports_china,94
free_trade_agreements,92
dispute_settlement_mechanism,91
international_trading_system,90
u.s_trade_representative,90
china_accession_wto,83
multilateral_trading_system,82
china_wto_membership,78
state-led_non-market_approach,77
non-market_approach_economy,77
united_states_continues,76
year_united_states,74
$_billion_chinese,74
chinese_communist_party,72
states_trade_representative,70
electronic_payment_services,69
workers_farmers_ranchers,68
joint_commission_commerce,68
commission_commerce_trade,68
china_regulatory_authorities,65
s_ed_meeting,63
trade_organization_wto,61
non-market_economic_system,61
policy_agenda_|,60
laws_regulations_measures,59
china_trading_partners,59
united_states_working,58
forced_technology_transfer,58
u.s_workers_businesses,58
china_trade_relationship,58
china_state-led_non-market,58
people_republic_china,57
china_strategic_economic,57
industrial_policy_objectives,57
open_market-oriented_policies,57
u.s_china_strategic,56
section_trade_act,55
china_joined_wto,55
jcct_meeting_china,55
enforcement_intellectual_property,54
china_also_agreed,53
wto_united_states,52
states_also_continue,52
investment_united_states,51
american_workers_businesses,51
wto_accession_agreement,51
concerns_united_states,50
commerce_trade_jcct,50
worker-centered_trade_policy,50
china_wto_compliance,49
agreement_united_states,49
american_workers_farmers,49
trade_united_states,49
acts_policies_practices,48
united_states_work,47
antidumping_countervailing_duties,47
playing_field_american,47
trade_remedy_laws,47
u.s_trade_laws,47
united_states_eu,47
wto_members_china,47
united_states_remains,46
antidumping_countervailing_duty,46
trading_rights_distribution,46
chinese_government_officials,46
china_non-market_economic,46
transfer_intellectual_property,45
trade_relationship_china,45
free_trade_area,45
u.s_agricultural_exports,45
relationship_united_states,44
technology_transfer_intellectual,44
addition_united_states,44
trade_investment_relationship,44
intellectual_property_technology,43
u.s_china_economic,43
united_states_continued,43
time_united_states,43
totaled_$_billion,43
trade_policies_practices,43
rights_distribution_services,43
protection_intellectual_property,42
market_access_barriers,42
market_united_states,42
global_supply_chains,41
government_procurement_agreement,41
concern_united_states,41
meeting_china_committed,41
tariffs_$_billion,40
united_states_u.s,40
states_continue_pursue,40
domestic_trade_tools,40
engagement_united_states,39
united_states_trading,39
rules-based_trading_system,39
state-owned_state-invested_enterprises,39
states_trading_partners,38
jobs_united_states,38
bilateral_investment_treaty,38
u.s_agricultural_products,38
local_content_requirements,38
united_states_brought,38
china_protocol_accession,38
among_wto_members,38
accession_wto_china,38
china_trade_regime,38
private_chinese_companies,38
united_states_must,37
china_economic_trade,37
international_trade_commission,37
since_china_joined,37
aspects_intellectual_property,37
united_states_won,37
united_states_america,36
u.s_china_joint,36
trade_promotion_authority,36
largest_export_market,36
growth_opportunity_act,36
intellectual_property_protection,36
trade_capacity_building,36
raw_material_inputs,36
example_united_states,35
efforts_united_states,35
african_growth_opportunity,35
$_billion_u.s,35
trade_investment_framework,35
case_united_states,35
united_states_able,35
limit_market_access,35
u.s_businesses_workers,35
years_united_states,35
market_access_u.s,35
policies_practices_china,35
single_official_journal,35
chinese_policies_practices,35
ustr_found_china,35
intellectual_property_innovation,34
u.s_trading_partners,34
key_trading_partners,34
negotiations_united_states,34
playing_field_u.s,34
trade-related_aspects_intellectual,34
property_rights_ipr,34
wto_government_procurement,34
severe_excess_capacity,34
bilateral_engagement_china,34
december_jcct_meeting,34
china_industrial_plans,34
countries_united_states,33
united_states_united,33
businesses_workers_farmers,33
economic_trade_regime,33
global_economic_growth,32
protect_intellectual_property,32
steel_aluminum_industries,32
economy_united_states,32
supply_chain_resilience,32
impair_national_security,32
united_states_can,32
wto_appellate_body,32
theft_intellectual_property,32
billion_chinese_imports,32
china_wto_commitments,32
china_wto_implementation,32
years_china_wto,32
unique_national_standards,32
economic_relationship_china,31
united_states_committed,31
u.s_national_security,31
issues_united_states,31
like-minded_trading_partners,31
ipr_infringement_levels,31
ipr_protection_enforcement,31
china_also_committed,31
indigenous_innovation_policies,31
|_president's_trade,31
