term,freq
china,12824
trade,8118
united,5663
u.s,5631
states,5556
wto,4681
economic,2963
also,2754
chinese,2332
market,2158
government,1699
administration,1693
world,1687
economy,1684
new,1677
global,1667
services,1628
including,1609
agreement,1603
countries,1526
american,1521
policies,1498
continue,1441
foreign,1420
policy,1419
trading,1366
president,1357
work,1275
companies,1240
workers,1239
investment,1231
partners,1225
goods,1160
exports,1156
members,1126
rights,1123
practices,1120
can,1119
system,1113
products,1078
years,1069
many,1058
commitments,1055
enforcement,1050
growth,1024
markets,982
percent,978
year,956
issues,954
support,953
international,943
efforts,932
property,932
access,919
one,913
intellectual,912
bilateral,904
national,902
technology,900
important,898
rules,888
address,882
working,875
agreements,871
$,869
domestic,867
negotiations,830
labor,820
security,788
key,785
concerns,784
export,783
businesses,757
industries,756
use,755
made,752
ustr,751
ensure,747
open,737
two,732
measures,730
relationship,715
progress,712
time,709
industrial,704
development,701
enterprises,697
jobs,693
billion,692
challenges,681
state,679
make,678
first,655
america,642
committed,619
agricultural,618
law,610
last,609
people,606
approach,605
