term,us_freq,eu_freq,total,us_share,corpus
united_states,5460,108,5568,0.9806034482758621,US-dominant
intellectual_property,908,154,1062,0.8549905838041432,US-dominant
trade_policy,762,206,968,0.7871900826446281,Shared
market_access,561,377,938,0.5980810234541578,Shared
trade_investment,476,322,798,0.5964912280701754,Shared
wto_members,744,43,787,0.9453621346886912,US-dominant
trading_partners,666,63,729,0.9135802469135802,US-dominant
$_billion,655,0,655,1,US-dominant
trade_agreements,420,128,548,0.7664233576642335,Shared
property_rights,397,93,490,0.810204081632653,US-dominant
chinese_government,455,30,485,0.9381443298969072,US-dominant
trading_system,397,88,485,0.8185567010309278,US-dominant
dispute_settlement,393,91,484,0.8119834710743802,US-dominant
u.s_trade,472,0,472,1,US-dominant
policies_practices,470,0,470,1,US-dominant
goods_services,376,82,458,0.8209606986899564,US-dominant
national_security,400,50,450,0.8888888888888888,US-dominant
u.s_exports,447,0,447,1,US-dominant
free_trade,359,84,443,0.8103837471783296,US-dominant
playing_field,304,133,437,0.6956521739130435,Shared
member_states,0,432,432,0,EU-dominant
china_wto,397,33,430,0.9232558139534883,US-dominant
china_also,348,75,423,0.8226950354609929,US-dominant
economic_growth,341,70,411,0.829683698296837,US-dominant
u.s_china,377,0,377,1,US-dominant
supply_chains,254,121,375,0.6773333333333333,Shared
european_union,135,232,367,0.3678474114441417,Shared
global_economy,248,117,365,0.6794520547945205,Shared
trade_agreement,310,47,357,0.8683473389355743,US-dominant
states_china,346,0,346,1,US-dominant
around_world,297,42,339,0.8761061946902655,US-dominant
last_year,245,94,339,0.7227138643067846,Shared
human_rights,118,220,338,0.34911242603550297,Shared
level_playing,213,116,329,0.6474164133738601,Shared
wto_rules,270,40,310,0.8709677419354839,US-dominant
states_also,301,0,301,1,US-dominant
state-owned_enterprises,295,0,295,1,US-dominant
eu_china,0,290,290,0,EU-dominant
wto_dispute,243,39,282,0.8617021276595744,US-dominant
trade_relationship,225,51,276,0.8152173913043478,US-dominant
world_trade,178,98,276,0.644927536231884,Shared
u.s_companies,273,0,273,1,US-dominant
technology_transfer,265,0,265,1,US-dominant
developing_countries,188,75,263,0.714828897338403,Shared
american_workers,253,0,253,1,US-dominant
wto_accession,204,49,253,0.8063241106719368,US-dominant
china_trade,252,0,252,1,US-dominant
china_committed,245,0,245,1,US-dominant
states_continue,242,0,242,1,US-dominant
government_procurement,176,62,238,0.7394957983193278,Shared
international_trade,182,44,226,0.8053097345132744,US-dominant
wto_membership,222,0,222,1,US-dominant
rule_law,155,66,221,0.7013574660633484,Shared
economic_security,0,221,221,0,EU-dominant
wto_commitments,177,42,219,0.8082191780821918,US-dominant
president_trump,217,0,217,1,US-dominant
foreign_companies,171,42,213,0.8028169014084507,US-dominant
excess_capacity,211,0,211,1,US-dominant
global_trade,141,70,211,0.6682464454976303,Shared
third_countries,0,209,209,0,EU-dominant
china_economic,168,40,208,0.8076923076923077,US-dominant
accession_wto,175,30,205,0.8536585365853658,US-dominant
chinese_companies,199,0,199,1,US-dominant
relationship_china,130,68,198,0.6565656565656566,Shared
raw_materials,0,198,198,0,EU-dominant
bilateral_trade,131,66,197,0.6649746192893401,Shared
supply_chain,139,57,196,0.7091836734693877,Shared
work_together,103,93,196,0.5255102040816326,Shared
trade_regime,195,0,195,1,US-dominant
global_trading,160,34,194,0.8247422680412371,US-dominant
industrial_policies,185,0,185,1,US-dominant
china_market,181,0,181,1,US-dominant
biden_administration,180,0,180,1,US-dominant
administration_continue,180,0,180,1,US-dominant
s_ed,178,0,178,1,US-dominant
steel_aluminum,177,0,177,1,US-dominant
open_markets,128,49,177,0.7231638418079096,Shared
u.s_goods,175,0,175,1,US-dominant
wide_range,143,31,174,0.8218390804597702,US-dominant
economy_trade,173,0,173,1,US-dominant
trade_representative,173,0,173,1,US-dominant
economic_trade,105,68,173,0.6069364161849711,Shared
foreign_investment,117,55,172,0.6802325581395349,Shared
workers_businesses,166,0,166,1,US-dominant
€_billion,0,163,163,0,EU-dominant
economic_relationship,124,37,161,0.7701863354037267,Shared
china_economy,160,0,160,1,US-dominant
exports_china,160,0,160,1,US-dominant
new_barriers,0,158,158,0,EU-dominant
climate_change,0,156,156,0,EU-dominant
wto_member,155,0,155,1,US-dominant
exchange_rate,155,0,155,1,US-dominant
global_economic,100,55,155,0.6451612903225806,Shared
approach_economy,154,0,154,1,US-dominant
china_china,114,40,154,0.7402597402597403,Shared
farmers_ranchers,153,0,153,1,US-dominant
china_agreed,153,0,153,1,US-dominant
recent_years,113,40,153,0.738562091503268,Shared
laws_regulations,152,0,152,1,US-dominant
industrial_policy,119,32,151,0.7880794701986755,Shared
states_wto,149,0,149,1,US-dominant
trade_policies,147,0,147,1,US-dominant
forced_labor,147,0,147,1,US-dominant
china_accession,147,0,147,1,US-dominant
two_sides,112,35,147,0.7619047619047619,Shared
policy_agenda,145,0,145,1,US-dominant
trade_economic,108,37,145,0.7448275862068966,Shared
trade_organization,143,0,143,1,US-dominant
agricultural_products,142,0,142,1,US-dominant
barriers_trade,96,45,141,0.6808510638297872,Shared
u.s_workers,140,0,140,1,US-dominant
china_made,140,0,140,1,US-dominant
president_obama,140,0,140,1,US-dominant
trade_deficit,98,42,140,0.7,Shared
financial_services,108,31,139,0.7769784172661871,Shared
years_ago,91,48,139,0.6546762589928058,Shared
eu_exports,0,139,139,0,EU-dominant
continue_work,138,0,138,1,US-dominant
appellate_body,138,0,138,1,US-dominant
economic_dialogue,136,0,136,1,US-dominant
trade_practices,136,0,136,1,US-dominant
president_biden,136,0,136,1,US-dominant
economic_system,135,0,135,1,US-dominant
economic_reform,134,0,134,1,US-dominant
non-market_policies,134,0,134,1,US-dominant
unfair_trade,133,0,133,1,US-dominant
strategic_economic,132,0,132,1,US-dominant
non-tariff_barriers,101,31,132,0.7651515151515151,Shared
eu_trade,0,132,132,0,EU-dominant
workers_farmers,129,0,129,1,US-dominant
american_jobs,128,0,128,1,US-dominant
u.s_government,127,0,127,1,US-dominant
china_united,127,0,127,1,US-dominant
also_continue,127,0,127,1,US-dominant
bilateral_engagement,126,0,126,1,US-dominant
sustainable_development,0,126,126,0,EU-dominant
phase_one,125,0,125,1,US-dominant
doha_round,92,33,125,0.736,Shared
ipr_enforcement,124,0,124,1,US-dominant
domestic_industries,122,0,122,1,US-dominant
jcct_meeting,122,0,122,1,US-dominant
commitments_china,122,0,122,1,US-dominant
hong_kong,89,33,122,0.7295081967213115,Shared
trade_secrets,121,0,121,1,US-dominant
trade_negotiations,90,30,120,0.75,Shared
trade_agenda,118,0,118,1,US-dominant
obama_administration,118,0,118,1,US-dominant
private_sector,115,0,115,1,US-dominant
european_commission,0,115,115,0,EU-dominant
wto_china,114,0,114,1,US-dominant
open_market-oriented,114,0,114,1,US-dominant
eu_companies,0,114,114,0,EU-dominant
market_economy,113,0,113,1,US-dominant
look_forward,113,0,113,1,US-dominant
trade_barriers,0,113,113,0,EU-dominant
china_non-market,112,0,112,1,US-dominant
u.s_businesses,112,0,112,1,US-dominant
one_agreement,111,0,111,1,US-dominant
china_industrial,111,0,111,1,US-dominant
years_china,109,0,109,1,US-dominant
states_trade,108,0,108,1,US-dominant
industrial_plans,108,0,108,1,US-dominant
state-led_non-market,108,0,108,1,US-dominant
opportunities_u.s,107,0,107,1,US-dominant
allies_partners,106,0,106,1,US-dominant
engagement_china,105,0,105,1,US-dominant
service_providers,105,0,105,1,US-dominant
american_people,104,0,104,1,US-dominant
u.s_economy,103,0,103,1,US-dominant
administration_also,103,0,103,1,US-dominant
u.s_agricultural,103,0,103,1,US-dominant
european_companies,0,103,103,0,EU-dominant
china_continued,102,0,102,1,US-dominant
president_bush,101,0,101,1,US-dominant
wto_obligations,100,0,100,1,US-dominant
trump_administration,100,0,100,1,US-dominant
eu_member,0,100,100,0,EU-dominant
trade_flows,0,100,100,0,EU-dominant
u.s_exporters,99,0,99,1,US-dominant
u.s_industry,99,0,99,1,US-dominant
regulatory_authorities,99,0,99,1,US-dominant
president's_trade,98,0,98,1,US-dominant
government_party,97,0,97,1,US-dominant
trade_act,97,0,97,1,US-dominant
trade_defence,0,97,97,0,EU-dominant
antidumping_countervailing,96,0,96,1,US-dominant
trade_remedies,96,0,96,1,US-dominant
investment_barriers,0,96,96,0,EU-dominant
vice_premier,95,0,95,1,US-dominant
protection_enforcement,94,0,94,1,US-dominant
international_trading,94,0,94,1,US-dominant
ensure_china,94,0,94,1,US-dominant
meeting_china,93,0,93,1,US-dominant
china_eu,0,93,93,0,EU-dominant
21st_century,91,0,91,1,US-dominant
settlement_mechanism,91,0,91,1,US-dominant
labor_rights,90,0,90,1,US-dominant
market_u.s,90,0,90,1,US-dominant
continue_pursue,89,0,89,1,US-dominant
non-market_economic,89,0,89,1,US-dominant
past_year,89,0,89,1,US-dominant
products_services,89,0,89,1,US-dominant
chinese_enterprises,89,0,89,1,US-dominant
trade_tools,89,0,89,1,US-dominant
public_procurement,0,89,89,0,EU-dominant
communist_party,88,0,88,1,US-dominant
global_markets,88,0,88,1,US-dominant
two_years,87,0,87,1,US-dominant
eu_also,0,87,87,0,EU-dominant
american_businesses,86,0,86,1,US-dominant
export_market,86,0,86,1,US-dominant
china_unfair,85,0,85,1,US-dominant
trade_china,85,0,85,1,US-dominant
indigenous_innovation,85,0,85,1,US-dominant
export_restraints,85,0,85,1,US-dominant
businesses_workers,84,0,84,1,US-dominant
small_businesses,84,0,84,1,US-dominant
multilateral_trading,84,0,84,1,US-dominant
accession_agreement,84,0,84,1,US-dominant
public_comment,84,0,84,1,US-dominant
middle_class,83,0,83,1,US-dominant
trade_laws,83,0,83,1,US-dominant
single_market,0,83,83,0,EU-dominant
europe_china,0,81,81,0,EU-dominant
eu_economic,0,78,78,0,EU-dominant
barriers_reported,0,72,72,0,EU-dominant
barriers_resolved,0,72,72,0,EU-dominant
trading_partner,0,71,71,0,EU-dominant
high_level,0,70,70,0,EU-dominant
eu-china_relations,0,69,69,0,EU-dominant
economic_social,0,68,68,0,EU-dominant
eur_billion,0,67,67,0,EU-dominant
eu-china_summit,0,67,67,0,EU-dominant
critical_raw,0,66,66,0,EU-dominant
ladies_gentlemen,0,66,66,0,EU-dominant
south_korea,0,63,63,0,EU-dominant
international_standards,0,62,62,0,EU-dominant
european_parliament,0,61,61,0,EU-dominant
value_chains,0,61,61,0,EU-dominant
trade_relations,0,61,61,0,EU-dominant
european_council,0,60,60,0,EU-dominant
foreign_direct,0,60,60,0,EU-dominant
civil_society,0,60,60,0,EU-dominant
progress_achieved,0,60,60,0,EU-dominant
chinese_market,0,59,59,0,EU-dominant
world_economy,0,58,58,0,EU-dominant
export_restrictions,0,56,56,0,EU-dominant
direct_investment,0,53,53,0,EU-dominant
eu_market,0,53,53,0,EU-dominant
china_europe,0,52,52,0,EU-dominant
political_dialogue,0,52,52,0,EU-dominant
action_plan,0,51,51,0,EU-dominant
commission_also,0,50,50,0,EU-dominant
third_country,0,49,49,0,EU-dominant
working_group,0,49,49,0,EU-dominant
defence_instruments,0,48,48,0,EU-dominant
foreign_subsidies,0,47,47,0,EU-dominant
commission_member,0,47,47,0,EU-dominant
access_barriers,0,47,47,0,EU-dominant
medical_devices,0,46,46,0,EU-dominant
research_innovation,0,45,45,0,EU-dominant
eu-china_trade,0,45,45,0,EU-dominant
president_xi,0,45,45,0,EU-dominant
barriers_recorded,0,45,45,0,EU-dominant
strategic_partners,0,44,44,0,EU-dominant
eu_businesses,0,43,43,0,EU-dominant
geographical_indications,0,43,43,0,EU-dominant
relations_china,0,43,43,0,EU-dominant
potentially_affected,0,43,43,0,EU-dominant
long_term,0,42,42,0,EU-dominant
chinese_authorities,0,42,42,0,EU-dominant
prime_minister,0,42,42,0,EU-dominant
eu_exporters,0,42,42,0,EU-dominant
eu_continue,0,41,41,0,EU-dominant
china_now,0,41,41,0,EU-dominant
export_controls,0,40,40,0,EU-dominant
china_can,0,40,40,0,EU-dominant
global_challenges,0,40,40,0,EU-dominant
border_measures,0,40,40,0,EU-dominant
internal_market,0,39,39,0,EU-dominant
strategic_partnership,0,39,39,0,EU-dominant
union_china,0,39,39,0,EU-dominant
trade_services,0,39,39,0,EU-dominant
president_european,0,39,39,0,EU-dominant
fta_negotiations,0,38,38,0,EU-dominant
investment_agreement,0,38,38,0,EU-dominant
steel_aluminium,0,38,38,0,EU-dominant
rest_world,0,37,37,0,EU-dominant
doha_development,0,37,37,0,EU-dominant
access_eu,0,36,36,0,EU-dominant
trade_organisation,0,36,36,0,EU-dominant
european_businesses,0,36,36,0,EU-dominant
trade_goods,0,36,36,0,EU-dominant
working_together,0,35,35,0,EU-dominant
can_also,0,35,35,0,EU-dominant
middle_east,0,35,35,0,EU-dominant
economic_development,0,35,35,0,EU-dominant
largest_trading,0,35,35,0,EU-dominant
access_strategy,0,35,35,0,EU-dominant
number_new,0,35,35,0,EU-dominant
customs_union,0,34,34,0,EU-dominant
illegal_migration,0,34,34,0,EU-dominant
eu_us,0,34,34,0,EU-dominant
number_barriers,0,34,34,0,EU-dominant
make_sure,0,34,34,0,EU-dominant
trade_commissioner,0,34,34,0,EU-dominant
put_place,0,33,33,0,EU-dominant
eu_investment,0,33,33,0,EU-dominant
state_aid,0,33,33,0,EU-dominant
political_economic,0,33,33,0,EU-dominant
european_economic,0,32,32,0,EU-dominant
economic_coercion,0,32,32,0,EU-dominant
commission_continue,0,32,32,0,EU-dominant
eu_economy,0,32,32,0,EU-dominant
science_technology,0,32,32,0,EU-dominant
mutually_beneficial,0,32,32,0,EU-dominant
renewable_energy,0,32,32,0,EU-dominant
work_china,0,32,32,0,EU-dominant
eu_imports,0,32,32,0,EU-dominant
local_content,0,32,32,0,EU-dominant
last_years,0,31,31,0,EU-dominant
european_economy,0,31,31,0,EU-dominant
progress_made,0,31,31,0,EU-dominant
eu_industry,0,31,31,0,EU-dominant
china_european,0,31,31,0,EU-dominant
protection_intellectual,0,31,31,0,EU-dominant
per_type,0,31,31,0,EU-dominant
