Topic,Estimate,StdError,P_value,Direction,Significant
5,-0.01066,0.00241,0,Declining,*
13,-0.01063,0.00242,0,Declining,*
10,-0.0082,0.00265,0.0024,Declining,*
15,-0.00523,0.00204,0.0114,Declining,*
8,-0.00436,0.00223,0.0522,Declining,
4,-0.00363,0.00297,0.223,Declining,
6,-9e-4,0.00234,0.7027,Declining,
1,4.2e-4,0.00194,0.8273,Rising,
9,8.4e-4,0.0019,0.6598,Rising,
12,0.00209,0.0018,0.2485,Rising,
2,0.00274,0.00196,0.1656,Rising,
3,0.00646,0.0023,0.0056,Rising,*
14,0.00835,0.00279,0.0033,Rising,*
11,0.00837,0.00218,2e-4,Rising,*
7,0.0144,0.00282,0,Rising,*
