Topic,Estimate,StdError,P_value,Direction,Significant
2,-0.01001,0.00226,0,Declining,*
7,-0.00853,0.00192,0,Declining,*
20,-0.00709,0.0018,1e-4,Declining,*
1,-0.00472,0.00168,0.0053,Declining,*
5,-0.00432,0.00161,0.0077,Declining,*
3,-0.00426,0.00257,0.0985,Declining,
14,-0.00376,0.00173,0.0311,Declining,*
16,-0.00256,0.00226,0.2586,Declining,
11,-3.2e-4,0.00175,0.8553,Declining,
19,-3e-5,0.00168,0.9865,Declining,
9,0.00157,0.00171,0.3601,Rising,
8,0.002,0.00197,0.3103,Rising,
12,0.00246,0.00132,0.0646,Rising,
15,0.00423,0.00143,0.0035,Rising,*
13,0.00426,0.00145,0.0038,Rising,*
4,0.00449,0.00177,0.0121,Rising,*
6,0.00548,0.00184,0.0032,Rising,*
17,0.00665,0.00165,1e-4,Rising,*
10,0.00715,0.00195,3e-4,Rising,*
18,0.00728,0.00192,2e-4,Rising,*
