Topic,Correlations
US01,US19 (-0.11)
US02,US16 (-0.16); US03 (-0.13); US18 (-0.12); US19 (-0.12); US04 (-0.11); US07 (+0.10); US08 (-0.10)
US03,US04 (-0.14); US16 (-0.14); US19 (-0.13); US02 (-0.13); US20 (-0.12); US07 (-0.12); US10 (-0.11)
US04,US03 (-0.14); US02 (-0.11); US12 (+0.10); US20 (-0.10)
US05,None >0.10
US06,US16 (-0.12)
US07,US03 (-0.12); US02 (+0.10); US18 (-0.10)
US08,US02 (-0.10)
US09,US15 (+0.12); US16 (-0.11)
US10,US03 (-0.11)
US11,US16 (-0.12)
US12,US16 (-0.11); US04 (+0.10)
US13,None >0.10
US14,US18 (-0.11)
US15,US09 (+0.12)
US16,US02 (-0.16); US19 (+0.16); US03 (-0.14); US11 (-0.12); US06 (-0.12); US09 (-0.11); US12 (-0.11)
US17,None >0.10
US18,US02 (-0.12); US14 (-0.11); US20 (-0.11); US07 (-0.10)
US19,US20 (+0.17); US16 (+0.16); US03 (-0.13); US02 (-0.12); US01 (-0.11)
US20,US19 (+0.17); US03 (-0.12); US18 (-0.11); US04 (-0.10)
