register,year,theta_RY
Liberal Integration,2001,0.85175
Liberal Integration,2002,0.44608
Liberal Integration,2003,0.39658
Liberal Integration,2004,0.59515
Liberal Integration,2005,0.76951
Liberal Integration,2006,0.74685
Liberal Integration,2007,0.4115
Liberal Integration,2008,0.39523
Liberal Integration,2009,0.46761
Liberal Integration,2010,0.28451
Liberal Integration,2011,0.2983
Liberal Integration,2012,0.38703
Liberal Integration,2013,0.32706
Liberal Integration,2014,0.33371
Liberal Integration,2015,0.3625
Liberal Integration,2016,0.32594
Liberal Integration,2017,0.38211
Liberal Integration,2018,0.28262
Liberal Integration,2019,0.27418
Liberal Integration,2020,0.42689
Liberal Integration,2021,0.11969
Liberal Integration,2022,0.17875
Liberal Integration,2023,0.11178
Liberal Integration,2024,0.06318
Liberal Integration,2025,0.06226
Bilateral Management,2001,0.0345
Bilateral Management,2002,0.13623
Bilateral Management,2003,0.48603
Bilateral Management,2004,0.10152
Bilateral Management,2005,0.08354
Bilateral Management,2006,0.16632
Bilateral Management,2007,0.50806
Bilateral Management,2008,0.32733
Bilateral Management,2009,0.40464
Bilateral Management,2010,0.43913
Bilateral Management,2011,0.5141
Bilateral Management,2012,0.30171
Bilateral Management,2013,0.42817
Bilateral Management,2014,0.3119
Bilateral Management,2015,0.26201
Bilateral Management,2016,0.40517
Bilateral Management,2017,0.21069
Bilateral Management,2018,0.27004
Bilateral Management,2019,0.1249
Bilateral Management,2020,0.04493
Bilateral Management,2021,0.01794
Bilateral Management,2022,0.07033
Bilateral Management,2023,0.08892
Bilateral Management,2024,0.02322
Bilateral Management,2025,0.11213
Economic Security,2001,5.6e-4
Economic Security,2002,6.5e-4
Economic Security,2003,7e-4
Economic Security,2004,1.2e-4
Economic Security,2005,0.00205
Economic Security,2006,0.00508
Economic Security,2007,0.00301
Economic Security,2008,0.05852
Economic Security,2009,0.02472
Economic Security,2010,0.06305
Economic Security,2011,0.01004
Economic Security,2012,0.00676
Economic Security,2013,0.01015
Economic Security,2014,0.02172
Economic Security,2015,0.08066
Economic Security,2016,0.08884
Economic Security,2017,0.11597
Economic Security,2018,0.03496
Economic Security,2019,0.02785
Economic Security,2020,0.11189
Economic Security,2021,0.27112000000000003
Economic Security,2022,0.31883
Economic Security,2023,0.62027
Economic Security,2024,0.51369
Economic Security,2025,0.24674
Self-Conception,2001,0.11314
Self-Conception,2002,0.40916
Self-Conception,2003,0.11612
Self-Conception,2004,0.30319
Self-Conception,2005,0.14482
Self-Conception,2006,0.08126
Self-Conception,2007,0.07581
Self-Conception,2008,0.21854
Self-Conception,2009,0.09722
Self-Conception,2010,0.21299
Self-Conception,2011,0.17712
Self-Conception,2012,0.30397
Self-Conception,2013,0.23396
Self-Conception,2014,0.33153
Self-Conception,2015,0.2939
Self-Conception,2016,0.17754
Self-Conception,2017,0.19125
Self-Conception,2018,0.39081
Self-Conception,2019,0.57049
Self-Conception,2020,0.18421
Self-Conception,2021,0.25834
Self-Conception,2022,0.33963
Self-Conception,2023,0.15487
Self-Conception,2024,0.27073
Self-Conception,2025,0.061
