year,Liberal Integration,Bilateral Management,Economic Security,Self-Conception
2001,0.81718,0.18256,1e-5,2e-4
2002,0.62345,0.04746,2e-4,0.3288
2003,0.85293,0.14511,8e-5,0.00173
2004,0.64864,0.20174,0.09171,0.05723
2005,0.43802,0.27471,0.00507,0.27808
2006,0.4794,0.46937,0.0011,0.04933
2007,0.3644,0.31295,0.0448,0.27714
2008,0.55384,0.36111,0.0221,0.00241
2009,0.49009,0.4735,0.02683,0.00769
2010,0.29964,0.26155,0.0726,0.31719
2011,0.35193,0.5212,0.00131,0.0064
2012,0.267,0.55378,0.00899,0.05724
2013,0.3675,0.29479,0.0042,0.08572
2014,0.28312,0.20298,0.00578,0.33259
2015,0.06667,0.34028,0.00467,0.34047
2016,0.24987,0.50009,0.22531,0.01993
2017,0.41117,0.28194,0.02527,0.08318
2018,0.09671,0.28544,0.01423,0.42803
2019,0.43117,0.03501,0.09671,0.23909
2020,0.57727,0.10876,0.08802,0.12174
2021,0.02747,0.00337,0.38169,0.47764
2022,0.16245,0.25543,0.44305,0.08197
2023,0.0978,0.11215,0.70332,0.07951
2024,0.0093,0.0032,0.92078,0.06097
2025,0.11227,0.05701,0.63087,0.18494
