Topic,Mean_Prop,SD_Prop,CV,Rank
EU04,0.13399782037877114,0.24393786771399803,1.8204614599286746,1
EU10,0.10843113301151332,0.22303930551795734,2.0569673978623357,2
EU07,0.10844534947038023,0.23631622650147044,2.179127345299539,3
EU05,0.08678370504276352,0.2029065574072197,2.3380720759413935,4
EU06,0.05690072209844361,0.13783739584403018,2.4224190969942088,5
EU14,0.09148186897201473,0.2232137758401059,2.439978307705862,6
EU03,0.06473819330265021,0.17456237100372912,2.6964356293919467,7
EU15,0.05090647781282153,0.15199710482863496,2.98581067398759,8
EU13,0.05368231806023185,0.17135436303195026,3.1920075217260506,9
EU11,0.05149508967610414,0.17485517361335817,3.3955698439049082,10
EU09,0.04241628990326006,0.15513953203756592,3.6575460133688424,11
EU08,0.04663277814560749,0.18340712911884657,3.933008849401402,12
EU01,0.037436977656182306,0.15457165883081078,4.128849829983136,13
EU02,0.0317415294785408,0.1316547943074899,4.1477142554361315,14
EU12,0.03490974699071513,0.16162245905454783,4.629723013963241,15
