year,topic,theta_bar_kY
2001,EU01,1e-5
2001,EU02,1e-5
2001,EU03,3e-5
2001,EU04,0.18204
2001,EU05,0.00982
2001,EU06,4.8e-4
2001,EU07,0
2001,EU08,4e-5
2001,EU09,4e-5
2001,EU10,5.4e-4
2001,EU11,0
2001,EU12,4e-5
2001,EU13,0.74168
2001,EU14,0.06514
2001,EU15,1.3e-4
2002,EU01,4e-5
2002,EU02,6e-5
2002,EU03,5e-4
2002,EU04,0.04684
2002,EU05,0.34628
2002,EU06,3.8e-4
2002,EU07,1.4e-4
2002,EU08,2.4e-4
2002,EU09,2.4e-4
2002,EU10,0.00571
2002,EU11,0
2002,EU12,4e-5
2002,EU13,0.27121
2002,EU14,2.5e-4
2002,EU15,0.32806
2003,EU01,9e-5
2003,EU02,3e-5
2003,EU03,5.2e-4
2003,EU04,0.14458
2003,EU05,0.48807
2003,EU06,2.8e-4
2003,EU07,2e-5
2003,EU08,2.5e-4
2003,EU09,2.4e-4
2003,EU10,0.00148
2003,EU11,3e-5
2003,EU12,7e-5
2003,EU13,0.36312
2003,EU14,2.6e-4
2003,EU15,9.7e-4
2004,EU01,2.7e-4
2004,EU02,0.07022
2004,EU03,9.7e-4
2004,EU04,0.19821
2004,EU05,0.40805
2004,EU06,0.00264
2004,EU07,0.02149
2004,EU08,8.9e-4
2004,EU09,7.1e-4
2004,EU10,0.07728
2004,EU11,0
2004,EU12,3.9e-4
2004,EU13,0.16198
2004,EU14,0.00133
2004,EU15,0.05555
2005,EU01,8.2e-4
2005,EU02,0.0046
2005,EU03,0.0019
2005,EU04,0.08487
2005,EU05,0.12156
2005,EU06,0.08116
2005,EU07,3.7e-4
2005,EU08,0.10868
2005,EU09,0.05986
2005,EU10,0.24601
2005,EU11,1e-4
2005,EU12,0.00329
2005,EU13,0.06973
2005,EU14,7.2e-4
2005,EU15,0.21632
2006,EU01,6.7e-4
2006,EU02,8.1e-4
2006,EU03,3.6e-4
2006,EU04,0.06693
2006,EU05,0.01542
2006,EU06,0.06936
2006,EU07,2.4e-4
2006,EU08,0.33308
2006,EU09,0.02559
2006,EU10,0.41451
2006,EU11,5e-5
2006,EU12,1.2e-4
