year,mean_prop,series
2001,0.03450250078185605,US: Bilateral Management
2002,0.13623666740074564,US: Bilateral Management
2003,0.48603991441490485,US: Bilateral Management
2004,0.1015237173453127,US: Bilateral Management
2005,0.08353557275870221,US: Bilateral Management
2006,0.1663096694089932,US: Bilateral Management
2007,0.5080658737704888,US: Bilateral Management
2008,0.3273370410404588,US: Bilateral Management
2009,0.40464127044834913,US: Bilateral Management
2010,0.4391248339324382,US: Bilateral Management
2011,0.5141066876576478,US: Bilateral Management
2012,0.30170997343049966,US: Bilateral Management
2013,0.4281781226353486,US: Bilateral Management
2014,0.31189591267731626,US: Bilateral Management
2015,0.2620162618036242,US: Bilateral Management
2016,0.40516929924714,US: Bilateral Management
2017,0.2106869660465034,US: Bilateral Management
2018,0.27004175476671743,US: Bilateral Management
2019,0.12490165527762433,US: Bilateral Management
2020,0.044925287029501465,US: Bilateral Management
2021,0.01794593914551566,US: Bilateral Management
2022,0.0703317104110804,US: Bilateral Management
2023,0.08890696658149963,US: Bilateral Management
2024,0.02322494747665883,US: Bilateral Management
2025,0.11213383681424682,US: Bilateral Management
2001,0.18255980936585375,EU: Bilateral Management
2002,0.04746637165954419,EU: Bilateral Management
2003,0.14511491393842316,EU: Bilateral Management
2004,0.20174914665116195,EU: Bilateral Management
2005,0.2747138729218854,EU: Bilateral Management
2006,0.46936880577693724,EU: Bilateral Management
2007,0.3129483081614662,EU: Bilateral Management
2008,0.36111029012915125,EU: Bilateral Management
2009,0.4735048641755895,EU: Bilateral Management
2010,0.2615518866156814,EU: Bilateral Management
2011,0.5211968543065363,EU: Bilateral Management
2012,0.5537861324353867,EU: Bilateral Management
2013,0.29479499684496474,EU: Bilateral Management
2014,0.2029835214555127,EU: Bilateral Management
2015,0.34027886086653997,EU: Bilateral Management
2016,0.5000943691614195,EU: Bilateral Management
2017,0.28194194378378673,EU: Bilateral Management
2018,0.2854413954145092,EU: Bilateral Management
2019,0.03502254723073908,EU: Bilateral Management
2020,0.10875637761203752,EU: Bilateral Management
2021,0.0033590329456492135,EU: Bilateral Management
2022,0.2554319758295927,EU: Bilateral Management
2023,0.11214975389366115,EU: Bilateral Management
2024,0.0032056818045768324,EU: Bilateral Management
2025,0.057007199889507205,EU: Bilateral Management
