year,mean_prop,series
2001,0.8517623056409924,US: Liberal Integration
2002,0.4460749080544192,US: Liberal Integration
2003,0.3965753619094272,US: Liberal Integration
2004,0.59513814170254975,US: Liberal Integration
2005,0.7695085251907752,US: Liberal Integration
2006,0.7468711422377355,US: Liberal Integration
2007,0.4114927471378307,US: Liberal Integration
2008,0.39522626516098697,US: Liberal Integration
2009,0.46761988953104494,US: Liberal Integration
2010,0.2845027521879679,US: Liberal Integration
2011,0.29829740234101904,US: Liberal Integration
2012,0.38701839599399346,US: Liberal Integration
2013,0.32707510715215926,US: Liberal Integration
2014,0.3337147432160794,US: Liberal Integration
2015,0.3625002100129316,US: Liberal Integration
2016,0.32594227947149346,US: Liberal Integration
2017,0.3821042927641814,US: Liberal Integration
2018,0.2826135990307214,US: Liberal Integration
2019,0.27418193369102817,US: Liberal Integration
2020,0.42690030015199126,US: Liberal Integration
2021,0.11969079166185184,US: Liberal Integration
2022,0.1787487357004528,US: Liberal Integration
2023,0.11178418760375998,US: Liberal Integration
2024,0.06316254521747436,US: Liberal Integration
2025,0.06226130711663778,US: Liberal Integration
2001,0.8171867506928786,EU: Liberal Integration
2002,0.6234387144517889,EU: Liberal Integration
2003,0.852930710857934,EU: Liberal Integration
2004,0.6486471791780154,EU: Liberal Integration
2005,0.43802945901915397,EU: Liberal Integration
2006,0.47940132593286516,EU: Liberal Integration
2007,0.36440060544929354,EU: Liberal Integration
2008,0.5538311130445042,EU: Liberal Integration
2009,0.49008806382158043,EU: Liberal Integration
2010,0.29963889349417316,EU: Liberal Integration
2011,0.3519292164280565,EU: Liberal Integration
2012,0.2670010363477053,EU: Liberal Integration
2013,0.3674945501185737,EU: Liberal Integration
2014,0.2831173885973222,EU: Liberal Integration
2015,0.06667187076055536,EU: Liberal Integration
2016,0.24986991171523898,EU: Liberal Integration
2017,0.41116568317891744,EU: Liberal Integration
2018,0.0967143445190193,EU: Liberal Integration
2019,0.4311742902734657,EU: Liberal Integration
2020,0.5772790225856135,EU: Liberal Integration
2021,0.02747735079059965,EU: Liberal Integration
2022,0.16244012732806348,EU: Liberal Integration
2023,0.09779302547691693,EU: Liberal Integration
2024,0.009304673948037412,EU: Liberal Integration
2025,0.11227212842752525,EU: Liberal Integration
