"","US01","US02","US03","US04","US05","US06","US07","US08","US09","US10","US11","US12","US13","US14","US15","US16","US17","US18","US19","US20"
"US01",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113978101020736,0
"US02",0,1,-0.133144587614123,-0.105827901499705,0,0,0.104265467576977,-0.103836055413031,0,0,0,0,0,0,0,-0.164149464344836,0,-0.116647508687605,-0.117073453269216,0
"US03",0,-0.133144587614123,1,-0.139268034956517,0,0,-0.117639589808226,0,0,-0.109549671388327,0,0,0,0,0,-0.135295482313369,0,0,-0.134473279981747,-0.118799885568064
"US04",0,-0.105827901499705,-0.139268034956517,1,0,0,0,0,0,0,0,0.103386070855574,0,0,0,0,0,0,0,-0.100609984098984
"US05",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US06",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.117918966759736,0,0,0,0
"US07",0,0.104265467576977,-0.117639589808226,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.102813766348011,0,0
"US08",0,-0.103836055413031,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"US09",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.114901338663404,-0.107898401355858,0,0,0,0
"US10",0,0,-0.109549671388327,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"US11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.121400255384871,0,0,0,0
"US12",0,0,0,0.103386070855574,0,0,0,0,0,0,0,1,0,0,0,-0.10790231571039,0,0,0,0
"US13",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"US14",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.106747983096781,0,0
"US15",0,0,0,0,0,0,0,0,0.114901338663404,0,0,0,0,0,1,0,0,0,0,0
"US16",0,-0.164149464344836,-0.135295482313369,0,0,-0.117918966759736,0,0,-0.107898401355858,0,-0.121400255384871,-0.10790231571039,0,0,0,1,0,0,0.16263889608362,0
"US17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"US18",0,-0.116647508687605,0,0,0,0,-0.102813766348011,0,0,0,0,0,0,-0.106747983096781,0,0,0,1,0,-0.106797388993261
"US19",-0.113978101020736,-0.117073453269216,-0.134473279981747,0,0,0,0,0,0,0,0,0,0,0,0,0.16263889608362,0,0,1,0.170182127103461
"US20",0,0,-0.118799885568064,-0.100609984098984,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106797388993261,0.170182127103461,1
