Topic1,Topic2,Correlation,Type
US19,US20,0.17,Positive
US02,US16,-0.164,Negative
US16,US19,0.163,Positive
US03,US04,-0.139,Negative
US03,US16,-0.135,Negative
US03,US19,-0.134,Negative
US02,US03,-0.133,Negative
US11,US16,-0.121,Negative
US03,US20,-0.119,Negative
US03,US07,-0.118,Negative
US06,US16,-0.118,Negative
US02,US18,-0.117,Negative
US02,US19,-0.117,Negative
US09,US15,0.115,Positive
US01,US19,-0.114,Negative
US03,US10,-0.11,Negative
US09,US16,-0.108,Negative
US12,US16,-0.108,Negative
US14,US18,-0.107,Negative
US18,US20,-0.107,Negative
US02,US04,-0.106,Negative
US02,US07,0.104,Positive
US02,US08,-0.104,Negative
US04,US12,0.103,Positive
US07,US18,-0.103,Negative
US04,US20,-0.101,Negative
