year,Liberal Integration,Bilateral Management,Economic Security,Self-Conception
2001,0.85175,0.0345,5.6e-4,0.11314
2002,0.44608,0.13623,6.5e-4,0.40916
2003,0.39658,0.48603,7e-4,0.11612
2004,0.59515,0.10152,1.2e-4,0.30319
2005,0.76951,0.08354,0.00205,0.14482
2006,0.74685,0.16632,0.00508,0.08126
2007,0.4115,0.50806,0.00301,0.07581
2008,0.39523,0.32733,0.05852,0.21854
2009,0.46761,0.40464,0.02472,0.09722
2010,0.28451,0.43913,0.06305,0.21299
2011,0.2983,0.5141,0.01004,0.17712
2012,0.38703,0.30171,0.00676,0.30397
2013,0.32706,0.42817,0.01015,0.23396
2014,0.33371,0.3119,0.02172,0.33153
2015,0.3625,0.26201,0.08066,0.2939
2016,0.32594,0.40517,0.08884,0.17754
2017,0.38211,0.21069,0.11597,0.19125
2018,0.28262,0.27004,0.03496,0.39081
2019,0.27418,0.1249,0.02785,0.57049
2020,0.42689,0.04493,0.11189,0.18421
2021,0.11969,0.01794,0.27112000000000003,0.25834
2022,0.17875,0.07033,0.31883,0.33963
2023,0.11178,0.08892,0.62027,0.15487
2024,0.06318,0.02322,0.51369,0.27073
2025,0.06226,0.11213,0.24674,0.061
