Topic,Trajectory_Shape,Inflection_Points,Start_Proportion,End_Proportion,Total_Change
US01,Declining (Non-linear),2004; 2015; 2018,0.077,0.0091,-0.0679
US02,Inverted-U,2006,0.0699,0,-0.0698
US03,Stable,2002; 2010,0.0064,0.0138,0.0074
US04,Stable,2013; 2019,6e-4,0.0174,0.0168
US05,Stable,2006; 2011,0.0113,-0,-0.0113
US06,U-shaped,2016; 2021,0.0023,0.0807,0.0784
US07,Declining (Linear),2009,0.3577,0,-0.3577
US08,Stable,2013; 2019,0.0379,0.0342,-0.0038
US09,Stable,2006; 2018; 2022,0.0397,0.045,0.0054
US10,Rising (Non-linear),2017; 2022,-1e-4,0.1471,0.1471
US11,Stable,2014,-1e-4,-1e-4,-0
US12,Stable,2019,2e-4,-7e-4,-9e-4
US13,Rising (Linear),None,3e-4,0.114,0.1137
US14,Inverted-U,2006; 2007,0.024,0.0037,-0.0203
US15,U-shaped,2018; 2021,0,0.1949,0.1949
US16,Declining (Non-linear),2005; 2007; 2015; 2019,0.1563,0.0495,-0.1068
US17,Rising (Non-linear),2016; 2019,-1e-4,0.1144,0.1144
US18,Rising (Linear),None,-3e-4,0.1738,0.1741
US19,Stable,2014,0.008,0.003,-0.005
US20,Declining (Linear),2009,0.2087,0,-0.2087
