preText_score,preprocessing_steps
0.06550213578185606,P-N-L-S-W-I-3
0.057478450065862656,N-L-S-W-I-3
0.0658897667988577,P-L-S-W-I-3
0.05913579815677718,L-S-W-I-3
0.06581508623466666,P-N-S-W-I-3
0.05747758069436391,N-S-W-I-3
0.06581525700406819,P-S-W-I-3
0.05751137751137751,S-W-I-3
0.06766688633821501,P-N-L-W-I-3
0.060624682233073844,N-L-W-I-3
0.06911341184068456,P-L-W-I-3
0.060626126010741396,L-W-I-3
0.06766688633821501,P-N-W-I-3
0.060624682233073844,N-W-I-3
0.06911341184068456,P-W-I-3
0.060626126010741396,W-I-3
0.11453433900986348,P-N-L-S-I-3
0.09993755273475553,N-L-S-I-3
0.11261305904662548,P-L-S-I-3
0.10059069912216766,L-S-I-3
0.11415162149427883,P-N-S-I-3
0.09880001117763355,N-S-I-3
0.1144223298069452,P-S-I-3
0.10207793760241313,S-I-3
0.13431056899588367,P-N-L-I-3
0.11897517401013905,N-L-I-3
0.13524635426733328,P-L-I-3
0.11958438608788259,L-I-3
0.13431056899588367,P-N-I-3
0.11897517401013905,N-I-3
0.13524635426733328,P-I-3
0.11958438608788259,I-3
0.06594827084337573,P-N-L-S-W-3
0.06074744990828907,N-L-S-W-3
0.06697860026531355,P-L-S-W-3
0.06074563354283634,L-S-W-3
0.06694260673281653,P-N-S-W-3
0.059971939482428994,N-S-W-3
0.06762712811663861,P-S-W-3
0.06103598809892516,S-W-3
0.07074906445535815,P-N-L-W-3
0.0657219548128639,N-L-W-3
0.07109238081266053,P-L-W-3
0.06572375565382559,L-W-3
0.07074906445535815,P-N-W-3
0.0657219548128639,N-W-3
0.07109238081266053,P-W-3
0.06572375565382559,W-3
0.11828429534723241,P-N-L-S-3
0.10536288109714684,N-L-S-3
0.11559265132691707,P-L-S-3
0.1057253779631402,L-S-3
0.11744980737987731,P-N-S-3
0.10717375088004458,N-S-3
0.11744668695717647,P-S-3
0.10572432229774888,S-3
0.1313016509520006,P-N-L-3
0.11897230974154051,N-L-3
0.13222345641926062,P-L-3
0.1207201656152705,L-3
0.1313016509520006,P-N-3
0.11897230974154051,N-3
0.13222345641926062,P-3
0.1207201656152705,3
0.07909714993631078,P-N-L-S-W-I
0.07043213973283903,N-L-S-W-I
0.07910104658356407,P-L-S-W-I
0.07496347475368455,L-S-W-I
0.07676219662233649,P-N-S-W-I
0.07429998905523381,N-S-W-I
0.07725981089617454,P-S-W-I
0.07430425829027228,S-W-I
0.0759958456461953,P-N-L-W-I
0.07433534608359783,N-L-W-I
0.07633313850097066,P-L-W-I
0.0736844507473878,L-W-I
0.0759958456461953,P-N-W-I
0.07433534608359783,N-W-I
0.07633313850097066,P-W-I
0.0736844507473878,W-I
0.12430698283845136,P-N-L-S-I
0.11825597091331357,N-L-S-I
0.12507859661705817,P-L-S-I
0.12126269224171322,L-S-I
0.12200238766672333,P-N-S-I
0.11797003307492818,N-S-I
0.12237365587015936,P-S-I
0.11886557886557886,S-I
0.1569419935154201,P-N-L-I
0.20650109020738391,N-L-I
0.15697609306000915,P-L-I
0.1256233510079664,L-I
0.1569419935154201,P-N-I
0.20650109020738391,N-I
0.15697609306000915,P-I
0.1256233510079664,I
0.07699025915809132,P-N-L-S-W
0.07133694588240043,N-L-S-W
0.07830051067813305,P-L-S-W
0.07284722270736257,L-S-W
0.07584944969560355,P-N-S-W
0.06998783656126313,N-S-W
0.0758524769713581,P-S-W
0.07468554755268042,S-W
0.07608657077188545,P-N-L-W
0.07396099626868857,N-L-W
0.07652790100342548,P-L-W
0.07398867643622889,L-W
0.07608657077188545,P-N-W
0.07396099626868857,N-W
0.07652790100342548,P-W
0.07398867643622889,W
0.12398803993209588,P-N-L-S
0.11412002915499418,N-L-S
0.12332531493370653,P-L-S
0.11542164905801269,L-S
0.12244768440572636,P-N-S
0.10977497250224523,N-S
0.12205940912234618,P-S
0.11232663218677205,S
0.15570500983088395,P-N-L
0.30659246736169815,N-L
0.1570465276758983,P-L
0.21649438362725076,L
0.15570500983088395,P-N
0.30659246736169815,N
0.1570465276758983,P
